148,1,6040,Utilities - Waste,Operating,500 ,0 
148,2,1000,Utilities - Waste,Operating,0 ,500 
149,1,6045,Maintenance - Normal,Operating,500 ,0 
149,2,1000,Maintenance - Normal,Operating,0 ,500 
150,1,6050,Caretaker,Operating,1300 ,0 
150,2,1000,Caretaker,Operating,0 ,1300 
151,1,6070,Property Management Fees,Operating,1700 ,0 
151,2,1000,Property Management Fees,Operating,0 ,1700 
152,1,6075,To record prepaid insurance recognized,Operating,8000 ,0 
152,2,1040,To record prepaid insurance recognized,Operating,0 ,8000 
153,1,1040,To record prepaid insurance as of year end,Operating,6000 ,0 
153,2,6075,To record prepaid insurance as of year end,Operating,0 ,6000
